seq.ID	lib.ID	date.seq.run	machine	lane
AOEBVMOT	LB22_E04	210921	A01059	2
AOSZIKIX	LB32_G04	210921	A01059	4
AOUQSOMK	LB63_D12	211001	A01059	1
AOZOEZLK	LB9_B04	210505	A01059	2
APCEGWVQ	LB129_D01	220815	A01147	2
APPLYBVI	LB80_F11	211013	A01059	3
APYXFZQL	LB81_D05	211109	A01059	2
AQAALQII	LB60_E07	211109	A01059	2
AQAVQMED	LB31_E03	211001	A01059	3
AQBIDLVX	LB51_C06	211001	A01059	2
AQHSJKJZ	LB111_G06	220915	A01147	4
AQIEEZXL	LB13_D03	210430	A01059	2
AQKYFRJV	LB31_E04	211001	A01059	3
AQORBOVU	LB31_F04	211001	A01059	3
AQPYGDKW	LB87_D02	220815	A01147	3
AQULHNCQ	LB4_F03	210430	A01059	2
ARCALQOB	LB56_E11	210921	A01059	1
ARDSPAMC	LB96_F06	220815	A01147	4
ARJGCNAP	LB15_A08	210505	A01059	1
ARKSVRHU	LB83_B03	211013	A01059	4
ARLGIZBC	LB9_C01	210430	A01059	4
ARSHSIHX	LB37_B09	211001	A01059	4
ARSKKYPS	LB31_A03	211001	A01059	3
ARVDBVJH	LB77_B04	211001	A01059	3
ARWLCOMS	LB130_F06	220915	A01147	2
ASAETXOK	LB75_B06	210921	A01059	2
ASIFXZAY	LB25_A07	210921	A01059	2
ASLFOKMN	LB128_A09	220915	A01147	3
ASLZCPMB	LB6_A11	210430	A01059	3
ATBKNXAQ	LB20_D04	210430	A01059	3
ATCBFDPI	LB81_A03	211001	A01059	2
ATDRPUVY	LB12_D02	210430	A01059	3
ATFYULJC	LB70_D03	211013	A01059	1
ATIUDJOU	LB70_H06	211013	A01059	1
ATRLIHBJ	LB24_A09	211013	A01059	4
AUEBYWRX	LB122_H09	220815	A01147	1
AUHWGIGR	LB31_E07	211001	A01059	3
AUPDWTEE	LB92_G07	220815	A01147	1
AUYDQLYR	LB129_F08	220815	A01147	2
AVASZFFN	LB37_C07	211109	A01059	2
AVEIMUSW	LB128_H02	220915	A01147	3
AVIACLWW	LB81_B07	211001	A01059	2
AVLZDKYY	LB63_D08	211109	A01059	1
AVMDVMNZ	LB99_A07	220815	A01147	3
AVOKSSWN	LB121_H05	220915	A01147	2
AVORZQNN	LB10_C01	210505	A01059	2
AVSOSAXA	LB87_A06	220815	A01147	3
AVVIPICB	LB108_G05	220815	A01147	4
AWBOHHWZ	LB128_A06	220915	A01147	3
AWCOMDBU	LB80_C05	211013	A01059	3
AWNTHDBV	LB15_C05	210430	A01059	1
AWRBDXSE	LB47_C10	210921	A01059	4
AWYAQRAB	LB19_G06	210921	A01059	1
AXPIACBK	LB51_A05	211001	A01059	2
AXQLZNBN	LB85_F06	220815	A01147	2
AXSKVQUK	LB96_F04	220815	A01147	4
AYIZZGFY	LB77_D07	211001	A01059	3
AYQDHTEB	LB45_A05	210921	A01059	3
AYWVPIRC	LB9_C03	210430	A01059	4
AYZNJRVN	LB87_D04	220815	A01147	3
AZKIPQEL	LB92_G05	220815	A01147	1
BADAEUTA	LB118_E04	220915	A01147	4
BALWWMIF	LB31_E05	211001	A01059	3
BAONIUYB	LB115_C01	220915	A01147	1
BARUZOUY	LB33_A08	210921	A01059	4
BAZYSLYI	LB99_D05	220815	A01147	3
BBHWMFJQ	LB75_E03	210921	A01059	2
BBJJFPFS	LB25_E07	210921	A01059	2
BBLTEKKE	LB14_E01	210430	A01059	2
BBSTPIFL	LB15_G05	210505	A01059	1
BBWDNSOT	LB63_D05	211001	A01059	1
BCJQPLHD	LB115_G12	220915	A01147	1
BCKAQIKE	LB32_H06	210921	A01059	4
BCMASHZF	LB13_B03	210430	A01059	2
BCUEHGFZ	LB20_G07	210430	A01059	1
BCUXBVMM	LB50_A06	211001	A01059	2
BDAYOQWO	LB14_A04	210430	A01059	2
BDQJODMJ	LB77_C12	211001	A01059	3
BDWPXBLC	LB33_B06	210921	A01059	4
BECBMMGI	LB13_E04	210430	A01059	2
BESTFFCO	LB56_E03	210921	A01059	1
BEWTDSXE	LB70_B01	211013	A01059	1
BFAKABXP	LB52_G08	211001	A01059	1
BFJYIMOM	LB15_A09	210505	A01059	1
BFSLFOHB	LB63_E03	211109	A01059	1
BFSRJKSM	LB115_D07	220915	A01147	1
BFSSGEJH	LB122_G12	220815	A01147	1
