one.minus.specificity,sensitivity,fold
0.71271271,0.63776147,mean
0.71371371,0.63776147,mean
0.71471471,0.65058198,mean
0.71571572,0.65058198,mean
0.71671672,0.65058198,mean
0.71771772,0.65058198,mean
0.71871872,0.65058198,mean
0.71971972,0.65058198,mean
0.72072072,0.65058198,mean
0.72172172,0.65058198,mean
0.72272272,0.65058198,mean
0.72372372,0.65058198,mean
0.72472472,0.65058198,mean
0.72572573,0.65058198,mean
0.72672673,0.65058198,mean
0.72772773,0.65058198,mean
0.72872873,0.65058198,mean
0.72972973,0.65981275,mean
0.73073073,0.65981275,mean
0.73173173,0.65981275,mean
0.73273273,0.65981275,mean
0.73373373,0.65981275,mean
0.73473473,0.65981275,mean
0.73573574,0.65981275,mean
0.73673674,0.65981275,mean
0.73773774,0.65981275,mean
0.73873874,0.65981275,mean
0.73973974,0.65981275,mean
0.74074074,0.65981275,mean
0.74174174,0.65981275,mean
0.74274274,0.66196329,mean
0.74374374,0.66196329,mean
0.74474474,0.66196329,mean
0.74574575,0.66196329,mean
0.74674675,0.66196329,mean
0.74774775,0.66196329,mean
0.74874875,0.66196329,mean
0.74974975,0.66196329,mean
0.75075075,0.70178229,mean
0.75175175,0.70178229,mean
0.75275275,0.70178229,mean
0.75375375,0.70178229,mean
0.75475475,0.70178229,mean
0.75575576,0.70178229,mean
0.75675676,0.70178229,mean
0.75775776,0.70178229,mean
0.75875876,0.70178229,mean
0.75975976,0.70178229,mean
0.76076076,0.70178229,mean
0.76176176,0.70178229,mean
0.76276276,0.71203870,mean
0.76376376,0.71203870,mean
0.76476476,0.71203870,mean
0.76576577,0.71203870,mean
0.76676677,0.71203870,mean
0.76776777,0.71203870,mean
0.76876877,0.71203870,mean
0.76976977,0.71203870,mean
0.77077077,0.71203870,mean
0.77177177,0.71203870,mean
0.77277277,0.71203870,mean
0.77377377,0.71203870,mean
0.77477477,0.71418924,mean
0.77577578,0.71418924,mean
0.77677678,0.71418924,mean
0.77777778,0.71418924,mean
0.77877878,0.71418924,mean
0.77977978,0.72034309,mean
0.78078078,0.72034309,mean
0.78178178,0.72034309,mean
0.78278278,0.72034309,mean
0.78378378,0.72034309,mean
0.78478478,0.72034309,mean
0.78578579,0.72034309,mean
0.78678679,0.72034309,mean
0.78778779,0.72034309,mean
0.78878879,0.72034309,mean
0.78978979,0.72034309,mean
0.79079079,0.72034309,mean
0.79179179,0.72034309,mean
0.79279279,0.72034309,mean
0.79379379,0.72034309,mean
0.79479479,0.72034309,mean
0.79579580,0.72034309,mean
0.79679680,0.72649693,mean
0.79779780,0.72649693,mean
0.79879880,0.72649693,mean
0.79979980,0.72649693,mean
0.80080080,0.72649693,mean
0.80180180,0.72649693,mean
0.80280280,0.72649693,mean
0.80380380,0.72649693,mean
0.80480480,0.72649693,mean
0.80580581,0.72649693,mean
0.80680681,0.72649693,mean
0.80780781,0.72649693,mean
0.80880881,0.72649693,mean
0.80980981,0.73675334,mean
0.81081081,0.73675334,mean
0.81181181,0.73675334,mean
0.81281281,0.73675334,mean
0.81381381,0.73675334,mean
0.81481481,0.73675334,mean
0.81581582,0.73675334,mean
0.81681682,0.73675334,mean
0.81781782,0.73675334,mean
0.81881882,0.73675334,mean
0.81981982,0.73675334,mean
0.82082082,0.73675334,mean
0.82182182,0.73675334,mean
0.82282282,0.73675334,mean
0.82382382,0.73675334,mean
0.82482482,0.73675334,mean
0.82582583,0.73675334,mean
0.82682683,0.73675334,mean
0.82782783,0.73675334,mean
0.82882883,0.73675334,mean
0.82982983,0.73675334,mean
0.83083083,0.74598411,mean
0.83183183,0.74598411,mean
0.83283283,0.74598411,mean
0.83383383,0.74598411,mean
0.83483483,0.74598411,mean
