PCoA1,PCoA2,Diet.5mo.as.AL,age.approx.months
 0.14197375, 0.09518523,1D,22
 0.09428290, 0.09333985,20,22
-0.26616670, 0.07032047,20,22
 0.09215497, 0.11227977,20,22
 0.00700926,-0.03202154,20,22
-0.05080308, 0.04155664,20,22
 0.17347257, 0.11478908,20,22
 0.16674282,-0.00791883,20,22
-0.05468035,-0.08439976,20,22
 0.09302227, 0.04939971,20,22
-0.15326816,-0.11222515,20,22
 0.05175222,-0.02740471,20,22
 0.23773612,-0.08233393,20,22
-0.06731749,-0.02975029,20,22
 0.01857914,-0.20720695,20,22
-0.21249974,-0.01403518,20,22
 0.11138568,-0.08929556,20,22
-0.23913137,-0.05161820,20,22
 0.15688026,-0.21416567,20,22
 0.02428751,-0.14418234,20,22
