Diet.5mo.as.AL,log10relab
20,-0.95979129
40,-0.96003575
2D,-0.96106737
20,-0.96130817
AL,-0.96154295
AL,-0.96250727
2D,-0.96252830
2D,-0.96253726
AL,-0.96268336
40,-0.96292136
1D,-0.96313070
20,-0.96319239
20,-0.96344408
AL,-0.96352953
AL,-0.96389400
AL,-0.96441783
40,-0.96488601
20,-0.96524194
2D,-0.96653504
40,-0.96735050
AL,-0.96749625
AL,-0.96852339
40,-0.96922299
AL,-0.96923952
40,-0.96948748
40,-0.96996958
2D,-0.97028473
AL,-0.97034052
40,-0.97052892
AL,-0.97103467
40,-0.97134992
40,-0.97476236
40,-0.97501095
2D,-0.97579681
20,-0.97581214
AL,-0.97710165
2D,-0.97723000
40,-0.97730915
40,-0.97802953
AL,-0.97806557
AL,-0.97841115
40,-0.97857811
40,-0.97858099
2D,-0.97992117
20,-0.97992630
40,-0.98011816
40,-0.98039001
AL,-0.98224137
AL,-0.98243657
1D,-0.98296614
20,-0.98338814
AL,-0.98423438
2D,-0.98487905
2D,-0.98497560
20,-0.98562604
AL,-0.98576405
40,-0.98675133
20,-0.98710214
1D,-0.98903883
2D,-0.98943351
40,-0.98946564
AL,-0.98958673
AL,-0.99002258
AL,-0.99142318
AL,-0.99200831
2D,-0.99213861
AL,-0.99226696
1D,-0.99230362
40,-0.99237242
20,-0.99273377
AL,-0.99276129
2D,-0.99377210
1D,-0.99394826
40,-0.99498315
2D,-0.99501941
40,-0.99538330
40,-0.99589434
40,-0.99617187
AL,-0.99683390
AL,-0.99712941
20,-0.99720141
40,-0.99733926
1D,-0.99808757
40,-0.99823646
20,-0.99857064
40,-0.99859493
1D,-0.99931255
AL,-0.99932646
AL,-0.99938903
1D,-0.99986485
AL,-1.00001019
1D,-1.00022941
AL,-1.00030958
AL,-1.00031343
2D,-1.00043527
AL,-1.00050678
20,-1.00051151
20,-1.00098035
AL,-1.00121027
AL,-1.00137188
AL,-1.00147680
AL,-1.00178010
40,-1.00240303
40,-1.00365929
20,-1.00379455
1D,-1.00380391
AL,-1.00428515
2D,-1.00501556
1D,-1.00506087
40,-1.00522995
40,-1.00636459
AL,-1.00689726
40,-1.00700404
2D,-1.00705699
20,-1.00731769
2D,-1.00771055
20,-1.00808693
20,-1.00817298
20,-1.00827658
AL,-1.00877591
40,-1.00930376
20,-1.00940569
1D,-1.00982749
20,-1.01011730
2D,-1.01100159
40,-1.01100517
20,-1.01104463
AL,-1.01244024
20,-1.01264557
AL,-1.01267172
40,-1.01345719
40,-1.01445010
AL,-1.01450533
2D,-1.01521199
AL,-1.01543075
AL,-1.01699244
1D,-1.01962147
40,-1.02043302
1D,-1.02069579
40,-1.02070312
AL,-1.02073640
2D,-1.02084313
20,-1.02210875
AL,-1.02224164
20,-1.02264163
40,-1.02272617
40,-1.02286830
1D,-1.02294245
1D,-1.02374931
20,-1.02462942
AL,-1.02477733
20,-1.02556462
20,-1.02568849
40,-1.02589412
40,-1.02606413
AL,-1.02607354
20,-1.02664795
20,-1.02744737
AL,-1.02763719
40,-1.02765689
AL,-1.02902082
2D,-1.02916178
1D,-1.02945495
AL,-1.02962956
20,-1.03017172
1D,-1.03143201
1D,-1.03170580
AL,-1.03194880
20,-1.03212554
20,-1.03217084
2D,-1.03392087
20,-1.03424878
40,-1.03428677
20,-1.03431432
AL,-1.03478992
2D,-1.03486191
AL,-1.03520780
AL,-1.03522401
20,-1.03542469
AL,-1.03564209
AL,-1.03565620
AL,-1.03571796
40,-1.03580074
1D,-1.03597451
1D,-1.03622099
20,-1.03624381
20,-1.03650449
1D,-1.03660091
AL,-1.03665143
40,-1.03675227
2D,-1.03722729
AL,-1.03729313
20,-1.03757947
40,-1.03845820
1D,-1.04010676
40,-1.04022387
1D,-1.04025704
20,-1.04031002
2D,-1.04063669
1D,-1.04116840
2D,-1.04131038
20,-1.04151207
20,-1.04154928
2D,-1.04270478
2D,-1.04275000
1D,-1.04295029
AL,-1.04328631
40,-1.04344317
2D,-1.04575042
AL,-1.04594550
AL,-1.04629094
2D,-1.04757660
2D,-1.04903231
40,-1.04925395
40,-1.04991616
40,-1.04995767
20,-1.05000083
1D,-1.05032798
40,-1.05081622
AL,-1.05126510
40,-1.05173879
20,-1.05252184
AL,-1.05261132
2D,-1.05297600
2D,-1.05300307
AL,-1.05322062
2D,-1.05424451
20,-1.05446664
40,-1.05487762
AL,-1.05515443
1D,-1.05535731
AL,-1.05571283
40,-1.05642144
20,-1.05703880
AL,-1.05720546
2D,-1.05833077
AL,-1.05854582
40,-1.05855080
AL,-1.05857199
40,-1.05862528
AL,-1.05871495
20,-1.05871725
2D,-1.05941488
40,-1.05970322
1D,-1.06000654
20,-1.06032131
20,-1.06038753
20,-1.06057375
40,-1.06081711
1D,-1.06118051
AL,-1.06128257
AL,-1.06132701
20,-1.06139104
2D,-1.06165455
1D,-1.06196383
1D,-1.06244056
1D,-1.06343674
