taxon.ID	phylum	class	order	family	genus	species
366	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-510	MGBC100230
368	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7050	sp003979345
369	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	
370	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	sp900548705
371	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NOV	MGBC100288
372	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	MGBC100310
374	Firmicutes_A	Clostridia_A	Christensenellales			
375	Firmicutes_A	Clostridia_A	Christensenellales	CAG-552		
376	Firmicutes_A	Clostridia_A	Christensenellales	CAG-552	CAG-552_NOV	
377	Firmicutes_A	Clostridia_A	Christensenellales	CAG-552	CAG-552_NOV	MGBC100320
378	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F	MGBC100342
379	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-34	MGBC100369
380	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	
381	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	MGBC100415
382	Firmicutes_A	Clostridia_A	Christensenellales	UBA3700		
383	Firmicutes_A	Clostridia_A	Christensenellales	UBA3700	UBA3700_NOV	
384	Firmicutes_A	Clostridia_A	Christensenellales	UBA3700	UBA3700_NOV	MGBC100798
385	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	
386	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42-69	MGBC100967
